idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	1.358
11	1.318
10	1.28	1			10486	1.28	13422	3423
9	1.243	1			10486	1.243	13034	3035
8	1.207	1			10486	1.207	12656	2657
7	1.172	1			10486	1.172	12289	2290
6	1.138	1			10486	1.138	11933	1934
5	1.105	1			10486	1.105	11587	1588
4	1.073	1			10486	1.073	11251	1252
3	1.042	1			10486	1.042	10926	927
2	1.012	1			10486	1.012	10611	612
1	0.983	1			10486	0.983	10307	308
0	0.954	10	100000	104865	10486
-1	0.925	1	10000	10811	10811	0.954	10309	309
-2	0.897	1	10000	11148	11148	0.925	10312	312
-3	0.87	1	10000	11494	11494	0.897	10310	310
-4	0.844	1	10000	11848	11848	0.87	10308	308
-5	0.819	1	10000	12210	12210	0.844	10305	305
-6	0.794	1	10000	12594	12594	0.819	10314	315
-7	0.77	1	10000	12987	12987	0.794	10312	312
-8	0.747	1	10000	13387	13387	0.77	10308	308
-9	0.725	1	10000	13793	13793	0.747	10303	303
-10	0.703	1	10000	14225	14225	0.725	10313	313
-11	0.682	1	10000	14663	14663	0.703	10308	308
-12	0.662	1	10000	15106	15106	0.682	10302	302
