idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	0.857
11	0.832
10	0.808	1			16666	0.808	13466	3467
9	0.784	1			16666	0.784	13066	3067
8	0.761	1			16666	0.761	12682	2683
7	0.739	1			16666	0.739	12316	2317
6	0.717	1			16666	0.717	11949	1950
5	0.696	1			16666	0.696	11599	1600
4	0.676	1			16666	0.676	11266	1267
3	0.656	1			16666	0.656	10932	933
2	0.637	1			16666	0.637	10616	617
1	0.618	1			16666	0.618	10299	300
0	0.6	10	100000	166666	16666
-1	0.582	1	10000	17182	17182	0.6	10309	309
-2	0.565	1	10000	17699	17699	0.582	10301	301
-3	0.548	1	10000	18248	18248	0.565	10310	310
-4	0.532	1	10000	18797	18797	0.548	10301	301
-5	0.516	1	10000	19380	19380	0.532	10310	310
-6	0.501	1	10000	19960	19960	0.516	10299	299
-7	0.486	1	10000	20576	20576	0.501	10309	309
-8	0.471	1	10000	21231	21231	0.486	10318	318
-9	0.457	1	10000	21882	21882	0.471	10306	306
-10	0.443	1	10000	22573	22573	0.457	10316	316
-11	0.43	1	10000	23256	23256	0.443	10302	302
-12	0.417	1	10000	23981	23981	0.43	10312	312
