idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	0.938
11	0.911
10	0.884	1			15227	0.884	13460	3461
9	0.858	1			15227	0.858	13064	3065
8	0.833	1			15227	0.833	12684	2685
7	0.809	1			15227	0.809	12318	2319
6	0.785	1			15227	0.785	11953	1954
5	0.762	1			15227	0.762	11602	1603
4	0.74	1			15227	0.74	11267	1268
3	0.718	1			15227	0.718	10932	933
2	0.697	1			15227	0.697	10613	614
1	0.677	1			15227	0.677	10308	309
0	0.657	10	100000	152276	15227
-1	0.637	1	10000	15699	15699	0.657	10310	309
-2	0.618	1	10000	16181	16181	0.637	10307	307
-3	0.599	1	10000	16694	16694	0.618	10317	317
-4	0.581	1	10000	17212	17212	0.599	10310	310
-5	0.564	1	10000	17730	17730	0.581	10301	301
-6	0.547	1	10000	18282	18282	0.564	10311	311
-7	0.531	1	10000	18832	18832	0.547	10301	301
-8	0.515	1	10000	19417	19417	0.531	10310	311
-9	0.5	1	10000	20000	20000	0.515	10300	300
-10	0.485	1	10000	20619	20619	0.5	10310	309
-11	0.47	1	10000	21277	21277	0.485	10319	319
-12	0.456	1	10000	21930	21930	0.47	10307	307
